dataset,model,size_10,size_15
sonar,knn,0.7761194029850748,0.7868852459016393
sonar,knn,0.8059701492537312,0.7419354838709677
sonar,knn,0.84375,0.8064516129032258
sonar,knn,0.6779661016949153,0.8307692307692308
sonar,knn,0.7812500000000001,0.8307692307692307
sonar,knn,0.6666666666666666,0.7499999999999999
sonar,knn,0.7936507936507938,0.6875
sonar,knn,0.75,0.7272727272727272
sonar,knn,0.7941176470588235,0.7796610169491527
sonar,knn,0.7058823529411765,0.7301587301587301
sonar,knn,0.819672131147541,0.7540983606557377
sonar,knn,0.7575757575757576,0.7241379310344829
sonar,knn,0.7666666666666667,0.7647058823529413
sonar,knn,0.7692307692307692,0.7619047619047619
sonar,knn,0.7142857142857142,0.8125
sonar,knn,0.6545454545454547,0.835820895522388
sonar,knn,0.7076923076923077,0.7096774193548386
