dataset,model,size_10,size_15
ionosphere,mlp,0.9024390243902439,0.8837209302325582
ionosphere,mlp,0.8641975308641974,0.8395061728395061
ionosphere,mlp,0.8888888888888888,0.935064935064935
ionosphere,mlp,0.8888888888888888,0.9473684210526315
ionosphere,mlp,0.9333333333333332,0.8421052631578947
ionosphere,mlp,0.8641975308641974,0.8641975308641974
ionosphere,mlp,0.9367088607594938,0.875
ionosphere,mlp,0.8395061728395061,0.9135802469135803
ionosphere,mlp,0.9024390243902439,0.8395061728395061
ionosphere,mlp,0.9024390243902439,0.8717948717948718
ionosphere,knn,0.8409090909090909,0.8571428571428571
ionosphere,knn,0.9047619047619047,0.8539325842696629
ionosphere,knn,0.8705882352941177,0.9156626506024096
ionosphere,knn,0.8505747126436782,0.9
ionosphere,knn,0.8735632183908045,0.9090909090909091
ionosphere,knn,0.8941176470588235,0.9382716049382717
ionosphere,knn,0.8735632183908045,0.9047619047619047
ionosphere,knn,0.8604651162790697,0.8275862068965517
ionosphere,knn,0.891566265060241,0.8809523809523809
ionosphere,knn,0.8539325842696629,0.925
ionosphere,knn,0.891566265060241,0.8941176470588235
ionosphere,knn,0.9,0.8837209302325582
ionosphere,knn,0.9382716049382717,0.9024390243902439
ionosphere,knn,0.9620253164556963,0.8837209302325582
ionosphere,knn,0.891566265060241,0.8837209302325582
ionosphere,knn,0.9047619047619047,0.8539325842696629
ionosphere,knn,0.8470588235294116,0.8444444444444443
ionosphere,knn,0.9135802469135803,0.8674698795180723
ionosphere,knn,0.9156626506024096,0.9024390243902439
ionosphere,knn,0.891566265060241,0.8470588235294116
ionosphere,knn,0.9156626506024096,0.8043478260869565
ionosphere,knn,0.8636363636363636,0.8222222222222223
ionosphere,knn,0.8837209302325582,0.8705882352941177
ionosphere,knn,0.8314606741573034,0.8735632183908045
ionosphere,knn,0.9047619047619047,0.8470588235294116
ionosphere,knn,0.8837209302325582,0.891566265060241
ionosphere,knn,0.8539325842696629,0.8888888888888888
ionosphere,knn,0.8636363636363636,0.7835051546391751
ionosphere,knn,0.8409090909090909,0.8604651162790697
ionosphere,knn,0.9047619047619047,0.8941176470588235
